TITLE,YOUTUBE LABEL,VIDEO_ID
"Word Study: YHWH - ""LORD""","Word Study: YHWH - ""LORD"" by The Bible Project 1 year ago 4 minutes 599,519 views",eLrGM26pmM0
The Story of the Bible,"The Story of the Bible by The Bible Project 1 year ago 5 minutes, 38 seconds 908,046 views",7_CGP-12AE0
Day of the Lord,"Day of the Lord by The Bible Project 1 year ago 6 minutes, 2 seconds 594,032 views",tEBc2gSSW04
Introducing New Series - Behind The Scenes,"Introducing New Series - Behind The Scenes by The Bible Project 1 year ago 5 minutes, 29 seconds 34,569 views",f9DE92JxHnE
Gospel of Luke Ch. 3-9,"Gospel of Luke Ch. 3-9 by The Bible Project 1 year ago 5 minutes, 24 seconds 382,942 views",0k4GbvZUPuo
Holy Spirit,"Holy Spirit by The Bible Project 1 year ago 4 minutes, 11 seconds 1,341,767 views",oNNZO9i1Gjc
"Word Study: Shema - ""Listen""","Word Study: Shema - ""Listen"" by The Bible Project 1 year ago 3 minutes, 26 seconds 712,091 views",6KQLOuIKaRA
What Is The Bible?,"What Is The Bible? by The Bible Project 1 year ago 5 minutes, 48 seconds 1,331,025 views",ak06MSETeo4
What is The Bible Project (2017),"What is The Bible Project (2017) by The Bible Project 1 year ago 105 seconds 518,775 views",wtuxIzTf9Ns
The Birth of Jesus - Gospel of Luke Ch. 1-2,"The Birth of Jesus - Gospel of Luke Ch. 1-2 by The Bible Project 2 years ago 5 minutes, 6 seconds 735,322 views",_OLezoUvOEQ
Read Scripture: Titus,"Read Scripture: Titus by The Bible Project 2 years ago 8 minutes, 22 seconds 271,929 views",PUEYCVXJM3k
Read Scripture: Revelation Ch. 12-22,"Read Scripture: Revelation Ch. 12-22 by The Bible Project 2 years ago 11 minutes 618,633 views",QpnIrbq2bKo
Read Scripture: Revelation Ch. 1-11,"Read Scripture: Revelation Ch. 1-11 by The Bible Project 2 years ago 11 minutes 1,093,737 views",5nvVVcYD-0w
Read Scripture: Jude,"Read Scripture: Jude by The Bible Project 2 years ago 7 minutes, 45 seconds 250,377 views",6UoCmakZmys
Read Scripture: 1- 3 John,"Read Scripture: 1- 3 John by The Bible Project 2 years ago 9 minutes, 36 seconds 286,128 views",l3QkE6nKylM
Read Scripture: 2 Peter,"Read Scripture: 2 Peter by The Bible Project 2 years ago 8 minutes, 3 seconds 192,786 views",wWLv_ITyKYc
Read Scripture: 1 Peter,"Read Scripture: 1 Peter by The Bible Project 2 years ago 7 minutes, 57 seconds 308,287 views",WhP7AZQlzCg
Read Scripture: James,"Read Scripture: James by The Bible Project 2 years ago 8 minutes, 3 seconds 426,794 views",qn-hLHWwRYY
BTS 7: The Revelation Premiere,"BTS 7: The Revelation Premiere by The Bible Project 2 years ago 2 hours, 4 minutes 240,620 views",1YD__DCKb7o
BTS 13: Behind what is up next year!,"BTS 13: Behind what is up next year! by The Bible Project 2 years ago 4 minutes, 45 seconds 74,408 views",Eu_-xzJO5Vk
Read Scripture: Philemon,"Read Scripture: Philemon by The Bible Project 2 years ago 6 minutes, 40 seconds 228,058 views",aW9Q3Jt6Yvk
Read Scripture: 2 Timothy,"Read Scripture: 2 Timothy by The Bible Project 2 years ago 7 minutes, 46 seconds 207,737 views",urlvnxCaL00
Read Scripture: 1 Timothy,"Read Scripture: 1 Timothy by The Bible Project 2 years ago 9 minutes, 16 seconds 279,617 views",7RoqnGcEjcs
Read Scripture: 2 Thessalonians,"Read Scripture: 2 Thessalonians by The Bible Project 2 years ago 7 minutes, 11 seconds 171,012 views",kbPBDKOn1cc
Read Scripture: 1 Thessalonians,"Read Scripture: 1 Thessalonians by The Bible Project 2 years ago 7 minutes, 18 seconds 252,750 views",No7Nq6IX23c
Read Scripture: Philippians,"Read Scripture: Philippians by The Bible Project 2 years ago 9 minutes, 14 seconds 393,626 views",oE9qqW1-BkU
Read Scripture: Ephesians,"Read Scripture: Ephesians by The Bible Project 2 years ago 8 minutes, 57 seconds 520,786 views",Y71r-T98E2Q
Read Scripture: Galatians,"Read Scripture: Galatians by The Bible Project 2 years ago 9 minutes, 4 seconds 431,617 views",vmx4UjRFp0M
Read Scripture: 2 Corinthians,"Read Scripture: 2 Corinthians by The Bible Project 2 years ago 8 minutes, 38 seconds 322,869 views",3lfPK2vfC54
Read Scripture: Colossians,"Read Scripture: Colossians by The Bible Project 2 years ago 9 minutes, 17 seconds 325,272 views",pXTXlDxQsvc
The Book of Job,"The Book of Job by The Bible Project 2 years ago 7 minutes, 15 seconds 3,295,199 views",GswSg2ohqmA
Read Scripture: Romans Ch. 5-16,"Read Scripture: Romans Ch. 5-16 by The Bible Project 2 years ago 9 minutes, 11 seconds 428,215 views",0SVTl4Xa5fY
Read Scripture: Romans Ch. 1-4,"Read Scripture: Romans Ch. 1-4 by The Bible Project 2 years ago 7 minutes, 47 seconds 669,571 views",ej_6dVdJSIU
Read Scripture: Acts Ch. 13-28,"Read Scripture: Acts Ch. 13-28 by The Bible Project 2 years ago 8 minutes, 4 seconds 422,760 views",Z-17KxpjL0Q
Read Scripture: Acts Ch. 1-12,"Read Scripture: Acts Ch. 1-12 by The Bible Project 2 years ago 8 minutes, 16 seconds 661,150 views",CGbNw855ksw
Read Scripture: Luke Ch. 10-24,"Read Scripture: Luke Ch. 10-24 by The Bible Project 2 years ago 7 minutes, 48 seconds 342,017 views",26z_KhwNdD8
Read Scripture: Luke Ch. 1-9,"Read Scripture: Luke Ch. 1-9 by The Bible Project 2 years ago 8 minutes, 17 seconds 492,881 views",XIb_dCIxzr0
Read Scripture: John Ch. 13-21,"Read Scripture: John Ch. 13-21 by The Bible Project 2 years ago 8 minutes, 32 seconds 382,925 views",RUfh_wOsauk
Read Scripture: John Ch. 1-12,"Read Scripture: John Ch. 1-12 by The Bible Project 2 years ago 8 minutes, 46 seconds 660,158 views",G-2e9mMf7E8
Read Scripture: Mark,"Read Scripture: Mark by The Bible Project 2 years ago 9 minutes, 32 seconds 622,091 views",HGHqu9-DtXk
The Book of Ecclesiastes,"The Book of Ecclesiastes by The Bible Project 2 years ago 6 minutes, 42 seconds 1,191,281 views",VeUiuSK81-0
Read Scripture: Chronicles,"Read Scripture: Chronicles by The Bible Project 2 years ago 6 minutes, 29 seconds 501,286 views",HR7xaHv3Ias
Read Scripture: Malachi,"Read Scripture: Malachi by The Bible Project 2 years ago 7 minutes, 10 seconds 364,238 views",HPGShWZ4Jvk
Read Scripture: Zechariah,"Read Scripture: Zechariah by The Bible Project 2 years ago 8 minutes, 11 seconds 362,786 views",_106IfO6Kc0
Read Scripture: Haggai,"Read Scripture: Haggai by The Bible Project 2 years ago 5 minutes, 37 seconds 372,988 views",juPvv_xcX-U
Read Scripture: Daniel,"Read Scripture: Daniel by The Bible Project 2 years ago 8 minutes, 54 seconds 753,125 views",9cSC9uobtPM
Read Scripture: Ezra-Nehemiah,"Read Scripture: Ezra-Nehemiah by The Bible Project 2 years ago 8 minutes, 37 seconds 632,044 views",MkETkRv9tG8
Read Scripture: Ezekiel 34-48,"Read Scripture: Ezekiel 34-48 by The Bible Project 2 years ago 7 minutes, 13 seconds 356,342 views",SDeCWW_Bnyw
Read Scripture: Ezekiel 1-33,"Read Scripture: Ezekiel 1-33 by The Bible Project 2 years ago 7 minutes, 24 seconds 520,071 views",R-CIPu1nko8
Read Scripture: Lamentations,"Read Scripture: Lamentations by The Bible Project 2 years ago 7 minutes, 17 seconds 318,357 views",p8GDFPdaQZQ
Read Scripture: Esther,"Read Scripture: Esther by The Bible Project 2 years ago 9 minutes, 14 seconds 707,712 views",JydNSlufRIs
Read Scripture: Jeremiah,"Read Scripture: Jeremiah by The Bible Project 2 years ago 7 minutes, 15 seconds 518,424 views",RSK36cHbrk0
BTS 15: The Big Move,"BTS 15: The Big Move by The Bible Project 2 years ago 6 minutes, 1 second 37,122 views",1UcEK_bzyDg
Read Scripture: Ecclesiastes,"Read Scripture: Ecclesiastes by The Bible Project 2 years ago 8 minutes, 2 seconds 570,282 views",lrsQ1tc-2wk
Read Scripture: Proverbs,"Read Scripture: Proverbs by The Bible Project 2 years ago 8 minutes, 8 seconds 621,115 views",AzmYV8GNAIM
Read Scripture: Zephaniah,"Read Scripture: Zephaniah by The Bible Project 2 years ago 5 minutes, 10 seconds 271,775 views",oFZknKPNvz8
Read Scripture: Habakkuk,"Read Scripture: Habakkuk by The Bible Project 2 years ago 6 minutes, 49 seconds 355,593 views",OPMaRqGJPUU
Read Scripture: Nahum,"Read Scripture: Nahum by The Bible Project 2 years ago 5 minutes, 7 seconds 297,483 views",Y30DanA5EhU
Read Scripture: Micah,"Read Scripture: Micah by The Bible Project 2 years ago 6 minutes, 39 seconds 382,674 views",MFEUEcylwLc
BTS 5: The Minor Prophets,"BTS 5: The Minor Prophets by The Bible Project 2 years ago 8 minutes, 58 seconds 29,579 views",BGYpIcKBjFo
Read Scripture: Joel,"Read Scripture: Joel by The Bible Project 2 years ago 6 minutes, 49 seconds 407,792 views",zQLazbgz90c
Read Scripture: Obadiah,"Read Scripture: Obadiah by The Bible Project 2 years ago 4 minutes, 59 seconds 328,051 views",i4ogCrEoG5s
Read Scripture: Amos,"Read Scripture: Amos by The Bible Project 2 years ago 7 minutes, 13 seconds 444,241 views",mGgWaPGpGz4
Read Scripture: Hosea,"Read Scripture: Hosea by The Bible Project 2 years ago 7 minutes, 36 seconds 556,780 views",kE6SZ1ogOVU
The Book of Proverbs,"The Book of Proverbs by The Bible Project 2 years ago 5 minutes, 31 seconds 1,371,447 views",Gab04dPs_uA
Read Scripture: Isaiah 40-66,"Read Scripture: Isaiah 40-66 by The Bible Project 2 years ago 8 minutes, 6 seconds 510,745 views",_TzdEPuqgQg
BTS 12: 5 Years Of Content,"BTS 12: 5 Years Of Content by The Bible Project 2 years ago 11 minutes 31,592 views",ZeWxvXq5Z2Q
Read Scripture: Isaiah 1-39,"Read Scripture: Isaiah 1-39 by The Bible Project 2 years ago 8 minutes, 11 seconds 778,618 views",d0A6Uchb1F8
Read Scripture: Jonah,"Read Scripture: Jonah by The Bible Project 2 years ago 9 minutes, 1 second 558,143 views",dLIabZc0O4c
Read Scripture: 1-2 Kings,"Read Scripture: 1-2 Kings by The Bible Project 2 years ago 8 minutes, 51 seconds 854,460 views",bVFW3wbi9pk
Read Scripture: 2 Samuel,"Read Scripture: 2 Samuel by The Bible Project 2 years ago 5 minutes, 57 seconds 736,649 views",YvoWDXNDJgs
Image of God,"Image of God by The Bible Project 2 years ago 6 minutes, 17 seconds 1,139,076 views",YbipxLDtY8c
Read Scripture: 1 Samuel,"Read Scripture: 1 Samuel by The Bible Project 2 years ago 7 minutes, 19 seconds 979,927 views",QJOju5Dw0V0
Read Scripture: Judges,"Read Scripture: Judges by The Bible Project 2 years ago 7 minutes, 30 seconds 1,004,277 views",kOYy8iCfIJ4
Read Scripture: Joshua,"Read Scripture: Joshua by The Bible Project 2 years ago 8 minutes, 48 seconds 1,244,600 views",JqOqJlFF_eU
BTS 11: Translation Time,"BTS 11: Translation Time by The Bible Project 2 years ago 6 minutes, 16 seconds 27,282 views",Lb2HcZjAScg
Read Scripture: Deuteronomy,"Read Scripture: Deuteronomy by The Bible Project 2 years ago 7 minutes, 49 seconds 571,369 views",q5QEH9bH8AU
Gospel of The Kingdom,"Gospel of The Kingdom by The Bible Project 2 years ago 5 minutes, 48 seconds 959,553 views",xmFPS0f-kzs
Read Scripture: Song of Songs,"Read Scripture: Song of Songs by The Bible Project 2 years ago 6 minutes, 59 seconds 517,282 views",4KC7xE4fgOw
Read Scripture: Numbers,"Read Scripture: Numbers by The Bible Project 2 years ago 6 minutes, 51 seconds 623,161 views",tp5MIrMZFqo
Read Scripture: Leviticus,"Read Scripture: Leviticus by The Bible Project 2 years ago 8 minutes, 17 seconds 717,822 views",IJ-FekWUZzE
Read Scripture: Exodus Ch. 19-40,"Read Scripture: Exodus Ch. 19-40 by The Bible Project 2 years ago 6 minutes, 27 seconds 653,639 views",oNpTha80yyE
Read Scripture: Exodus Ch. 1 -18,"Read Scripture: Exodus Ch. 1 -18 by The Bible Project 2 years ago 6 minutes, 33 seconds 876,365 views",jH_aojNJM3E
Read Scripture: Genesis Ch. 12-50,"Read Scripture: Genesis Ch. 12-50 by The Bible Project 2 years ago 8 minutes, 8 seconds 1,021,944 views",F4isSyennFo
Read Scripture: Genesis Ch. 1-11,"Read Scripture: Genesis Ch. 1-11 by The Bible Project 3 years ago 7 minutes, 43 seconds 1,679,511 views",GQI72THyO5I
BTS 9: 2015 Year in Review,"BTS 9: 2015 Year in Review by The Bible Project 3 years ago 7 minutes, 38 seconds 16,257 views",oJm7lxY_ky8
The Gospel According to Mark,"The Gospel According to Mark by The Bible Project 3 years ago 5 minutes, 35 seconds 858,749 views",OVRixfameGY
BTS 8: 3 Reasons You Won't Read Through the Bible,"BTS 8: 3 Reasons You Won't Read Through the Bible by The Bible Project 3 years ago 6 minutes, 2 seconds 140,235 views",Ob7nRaTS1Qs
Read Scripture Intro,"Read Scripture Intro by The Bible Project 3 years ago 3 minutes, 12 seconds 999,132 views",7hUs4TXRuVk
The Book of Deuteronomy,"The Book of Deuteronomy by The Bible Project 3 years ago 6 minutes, 47 seconds 984,300 views",NMhmDPWeftw
Read Scripture: Psalms,"Read Scripture: Psalms by The Bible Project 3 years ago 8 minutes, 59 seconds 846,297 views",j9phNEaPrv8
Sneak Peek: The Gospel of The Kingdom,"Sneak Peek: The Gospel of The Kingdom by The Bible Project 3 years ago 6 minutes, 16 seconds 11,106 views",p6fY39B25G4
Read Scripture: Job,"Read Scripture: Job by The Bible Project 3 years ago 11 minutes 905,648 views",xQwnH8th_fs
Read Scripture: Ruth,"Read Scripture: Ruth by The Bible Project 3 years ago 7 minutes, 12 seconds 836,166 views",0h1eoBeR4Jk
Read Scripture: 1 Corinthians,"Read Scripture: 1 Corinthians by The Bible Project 3 years ago 8 minutes, 47 seconds 541,239 views",yiHf8klCCc4
Read Scripture: Matthew Ch. 14-28,"Read Scripture: Matthew Ch. 14-28 by The Bible Project 3 years ago 7 minutes, 10 seconds 506,307 views",GGCF3OPWN14
Read Scripture: Hebrews,"Read Scripture: Hebrews by The Bible Project 3 years ago 8 minutes, 17 seconds 400,282 views",1fNWTZZwgbs
The Law,"The Law by The Bible Project 3 years ago 6 minutes 1,035,963 views",3BGO9Mmd_cU
BTS 6: Making of The Gospel according to Matthew,"BTS 6: Making of The Gospel according to Matthew by The Bible Project 3 years ago 9 minutes, 21 seconds 24,225 views",hzfV8_eps_8
Sacrifice & Atonement,"Sacrifice & Atonement by The Bible Project 3 years ago 6 minutes, 51 seconds 1,048,450 views",G_OlRWGLdnw
BTS 4: The Big Picture & How to pronounce 'Torah',"BTS 4: The Big Picture & How to pronounce 'Torah' by The Bible Project 3 years ago 4 minutes, 34 seconds 17,295 views",tq_QCK2QYl4
BTS 3: Book of Numbers Discussion - What is Manna?,"BTS 3: Book of Numbers Discussion - What is Manna? by The Bible Project 3 years ago 8 minutes, 57 seconds 58,525 views",ZHmXjkxnv-g
The Book of Numbers,"The Book of Numbers by The Bible Project 3 years ago 6 minutes, 11 seconds 1,291,243 views",zebxH-5o-SQ
"BTS 2: What is ""The Great Command?""","BTS 2: What is ""The Great Command?"" by The Bible Project 3 years ago 3 minutes, 48 seconds 23,067 views",qvKJNhLNFKA
BTS 1: Want a poster?,"BTS 1: Want a poster? by The Bible Project 3 years ago 4 minutes, 26 seconds 25,035 views",PnxE89vYOrY
The Book of Leviticus Overview,"The Book of Leviticus Overview by The Bible Project 3 years ago 7 minutes, 22 seconds 1,250,517 views",WmvyrLXoQio
Holiness,"Holiness by The Bible Project 3 years ago 6 minutes, 35 seconds 1,783,863 views",l9vn5UvsHvM
The Book of Exodus Overview - Part 2 of 2,"The Book of Exodus Overview - Part 2 of 2 by The Bible Project 3 years ago 5 minutes, 18 seconds 612,849 views",b0GhR-2kPKI
Covenants,"Covenants by The Bible Project 3 years ago 5 minutes, 46 seconds 948,892 views",8ferLIsvlmI
The Book of Exodus Overview - Part 1 of 2,"The Book of Exodus Overview - Part 1 of 2 by The Bible Project 4 years ago 5 minutes, 44 seconds 756,850 views",0uf-PgW7rqE
Messiah,"Messiah by The Bible Project 4 years ago 5 minutes, 48 seconds 1,623,578 views",3dEh25pduQ8
The Book of Genesis Overview - Part 2 of 2,"The Book of Genesis Overview - Part 2 of 2 by The Bible Project 4 years ago 5 minutes, 7 seconds 904,221 views",VpbWbyx1008
Heaven & Earth,"Heaven & Earth by The Bible Project 4 years ago 6 minutes, 43 seconds 1,301,321 views",Zy2AQlK6C5k
The Book of Genesis Overview - Part 1 of 2,"The Book of Genesis Overview - Part 1 of 2 by The Bible Project 4 years ago 6 minutes, 12 seconds 1,739,397 views",KOUV7mWDI34
What is The Bible Project?,"What is The Bible Project? by The Bible Project 4 years ago 3 minutes, 8 seconds 409,313 views",8Tbcofs6l3o
